"","analysis","run_number","volume","area","name","category","conc","conc_err","d15N","d15N_err","compound"
"1",40872,9,0.27,29.8941141555173,"USGS-34 37uM","USGS-34",34.9215783178164,2.95249682417597,-1.56157049156249,0.0425911713867184,"NO3+Norg"
"2",40873,10,0.27,28.7133449065419,"IAEA-NO3 37uM","IAEA-NO3",33.5422323506186,2.95016367197282,4.99275395394872,0.0425911713867184,"NO3+Norg"
"3",40875,12,1,34.4381469731225,"USGS-65 10uM","USGS-65",10.8620479236884,0.799829672481995,20.2084365145712,0.0425911713867184,"NO3+Norg"
"4",40876,13,0.2,27.4679482630412,"USGS-65 50uM","USGS-65",43.3179768109187,3.97953400473236,20.7204881825596,0.0425911713867184,"NO3+Norg"
"5",40877,14,1.64,29.6025442881308,"USGS-40 5uM","USGS-40",5.69320904823122,0.485985542810179,-3.14819392010923,0.0425911713867184,"NO3+Norg"
"6",40878,15,1,33.171777545205,"USGS-40 10uM","USGS-40",10.462625578872,0.799052811642155,-4.42613189850705,0.0425911713867184,"NO3+Norg"
"7",40879,16,0.2,28.3831140762847,"USGS-40 50uM","USGS-40",44.7612273623102,3.98186243278964,-4.54755491532838,0.0425911713867184,"NO3+Norg"
"8",40890,27,0.27,29.5252351524617,"USGS-34 37uM","USGS-34",34.4906628229471,2.95175813037198,-1.56600384046824,0.0425911713867184,"NO3+Norg"
"9",40891,28,0.27,29.2848061269524,"IAEA-NO3 37uM","IAEA-NO3",34.2097994730409,2.9512813526093,5.07206081915766,0.0425911713867184,"NO3+Norg"
"10",40892,29,1.52,27.0230365676524,"USGS-65 5uM","USGS-65",5.6074124351289,0.523477517165791,20.1974119122123,0.0425911713867184,"NO3+Norg"
"11",40893,30,1,35.6522032509885,"USGS-65 10uM","USGS-65",11.2449703115429,0.800601007367235,19.9617150702706,0.0425911713867184,"NO3+Norg"
"12",40894,31,0.2,29.0320689706956,"USGS-65 50uM","USGS-65",45.784653385915,3.98355905607837,20.8324456102677,0.0425911713867184,"NO3+Norg"
"13",40895,32,1.84,31.1277058518879,"USGS-40 5uM","USGS-40",5.3358207337441,0.433618917228687,-4.72398797587282,0.0425911713867184,"NO3+Norg"
"14",40896,33,1,32.6276124821524,"USGS-40 10uM","USGS-40",10.2909918670499,0.798727707523311,-4.39540382333185,0.0425911713867184,"NO3+Norg"
"15",40897,34,0.2,28.2263817016354,"USGS-40 50uM","USGS-40",44.5140545736636,3.98145845103731,-4.41113430427001,0.0425911713867184,"NO3+Norg"
"16",40908,45,0.27,29.8940187113574,"USGS-34 37uM","USGS-34",34.9214668222663,2.95249665237222,-1.61820911948124,0.0425911713867184,"NO3+Norg"
"17",40909,46,0.27,29.6122173970088,"IAEA-NO3 37uM","IAEA-NO3",34.5922733690704,2.95193147901858,5.06845952493541,0.0425911713867184,"NO3+Norg"
"18",40910,47,1.82,31.1044059690186,"USGS-65 5uM","USGS-65",5.39041823823107,0.438376709515368,20.7733232023381,0.0425911713867184,"NO3+Norg"
"19",40912,49,0.2,29.1512780697516,"USGS-65 50uM","USGS-65",45.9726505722758,3.98387473739938,20.7139169040284,0.0425911713867184,"NO3+Norg"
"20",40913,50,1.66,27.6797074863098,"USGS-40 5uM","USGS-40",5.25926855277393,0.479526046374423,-4.67770614921081,0.0425911713867184,"NO3+Norg"
"21",40914,51,1,33.5245241877669,"USGS-65 10uM","USGS-65",10.5738844958927,0.799266360792115,20.8468754340426,0.0425911713867184,"NO3+Norg"
"22",40915,52,0.2,28.2479511841393,"USGS-40 50uM","USGS-40",44.5480704504222,3.98151397390746,-4.51890790548377,0.0425911713867184,"NO3+Norg"
"23",40926,63,0.27,29.5426207295893,"USGS-34 37uM","USGS-34",34.5109722320202,2.95179270205553,-1.59473408916077,0.0425911713867184,"NO3+Norg"
"24",40927,64,0.27,29.5638299528623,"IAEA-NO3 37uM","IAEA-NO3",34.535748331681,2.95183499511258,4.98369671883395,0.0425911713867184,"NO3+Norg"
"25",40928,65,1.88,33.2894056035937,"USGS-65 5uM","USGS-65",5.58496082135533,0.425065844119066,20.630507508533,0.0425911713867184,"NO3+Norg"
"26",40929,66,1,33.1579031356573,"USGS-65 10uM","USGS-65",10.4582494868152,0.799044460348615,20.9020998104545,0.0425911713867184,"NO3+Norg"
"27",40930,67,0.2,28.5142964715197,"USGS-65 50uM","USGS-65",44.9681068824103,3.9822023788271,20.7846320284247,0.0425911713867184,"NO3+Norg"
"28",40931,68,1.6,29.21562336016,"USGS-40 5uM","USGS-40",5.75926568628531,0.4980057003807,-4.46840869803364,0.0425911713867184,"NO3+Norg"
"29",40932,69,1,34.349470994672,"USGS-40 10uM","USGS-40",10.8340788599533,0.799774347405707,-4.19310419239617,0.0425911713867184,"NO3+Norg"
"30",40933,70,0.2,28.683911129532,"USGS-40 50uM","USGS-40",45.2355955114192,3.98264417327855,-4.46248096872403,0.0425911713867184,"NO3+Norg"
"31",40944,81,0.27,28.7461177613269,"USGS-34 37uM","USGS-34",33.580516803843,2.95022724505469,-1.58450040290031,0.0425911713867184,"NO3+Norg"
"32",40945,82,0.27,29.6897202402755,"IAEA-NO3 37uM","IAEA-NO3",34.6828103087806,2.9520863848943,5.05739338027401,0.0425911713867184,"NO3+Norg"
"33",40946,83,1.84,31.7347034797678,"USGS-65 5uM","USGS-65",5.4398705003278,0.433807414720987,21.0286897077544,0.0425911713867184,"NO3+Norg"
"34",40947,84,1,32.9388424719029,"USGS-65 10uM","USGS-65",10.3891561227108,0.798913001214177,20.9216586052961,0.0425911713867184,"NO3+Norg"
"35",40948,85,0.2,28.7691936445714,"USGS-65 50uM","USGS-65",45.3700892119853,3.98286726706425,20.683142319133,0.0425911713867184,"NO3+Norg"
"36",40949,86,1.52,27.1660555141363,"USGS-40 5uM","USGS-40",5.6370895669703,0.523523990868438,-5.4149224532737,0.0425911713867184,"NO3+Norg"
"37",40951,88,0.2,27.4896505292319,"USGS-40 50uM","USGS-40",43.3522020924939,3.97958838173182,-4.45423181158879,0.0425911713867184,"NO3+Norg"
