"","analysis","run_number","volume","area","name","category","conc","conc_err","d15N","d15N_err","d18O","d18O_err","compound"
"1",27267,15,1,6.61016789227009,"USGS 34 2 uM","USGS34",2.11036154464933,0.052293923356069,-1.99023095930466,0.294313704394707,-27.1314040131807,0.521770791496201,"NO3+NO2"
"2",27269,17,1,6.48471797562928,"IAEA 2 uM","IAEA-NO3",2.07031041672445,0.0522546478380278,4.51788821124594,0.2927679337443,25.8514062172631,0.522693562909127,"NO3+NO2"
"3",27270,18,0.4,6.35466248024226,"USGS 34 5 uM","USGS34",5.07197228046641,0.130536739436668,-1.27349536143124,0.291733673667233,-27.5540551293775,0.522179085627094,"NO3+NO2"
"4",27271,19,0.4,6.19488878430314,"IAEA 5 uM","IAEA-NO3",4.94444894473136,0.130416703621879,5.03369819506708,0.298070848147501,25.773540002691,0.527942374949444,"NO3+NO2"
"5",27283,31,1,6.18787111959207,"USGS 34 2 uM","USGS34",1.975539118954,0.0521646001983505,-1.83061522539694,0.293630405276348,-28.2869744971329,0.522798243059625,"NO3+NO2"
"6",27284,32,1,6.32083213997539,"IAEA 2 uM","IAEA-NO3",2.01798824111358,0.0522044313099625,4.74958457843389,0.2937099952385,25.5876796174938,0.522456286316386,"NO3+NO2"
"7",27285,33,0.4,6.16190008638223,"USGS 34 5 uM","USGS34",4.91811902367831,0.130392288264693,-1.85575759771661,0.293710316799824,-28.4330939735498,0.522881148539249,"NO3+NO2"
"8",27299,47,1,6.38664592378059,"USGS 34 2 uM","USGS34",2.03899994319346,0.0522244492239145,-1.75263443195405,0.293307834378514,-27.9451952583492,0.522489904554254,"NO3+NO2"
"9",27300,48,1,6.31395186178652,"IAEA 2 uM","IAEA-NO3",2.01579164418247,0.0522023498482795,4.84151831487017,0.294101900359951,26.0708169113224,0.522892651103673,"NO3+NO2"
"10",27301,49,0.4,6.10389856543967,"USGS 34 5 uM","USGS34",4.8718251241423,0.13034966572643,-1.58011297849869,0.292722171647657,-28.3744556516081,0.522833540660332,"NO3+NO2"
"11",27302,50,0.4,6.1698509008814,"IAEA 5 uM","IAEA-NO3",4.92446496429629,0.130398160228266,4.9053799363033,0.297444554829867,25.9646101771489,0.528132286150194,"NO3+NO2"
"12",27315,63,1,6.22382258013466,"USGS 34 2 uM","USGS34",1.9870169786755,0.0521752899752519,-1.85681102183191,0.293740426553285,-28.6494481975338,0.52312931435154,"NO3+NO2"
"13",27316,64,1,6.24148230330847,"IAEA 2 uM","IAEA-NO3",1.99265502014171,0.0521805624311025,4.7845826277225,0.293857980372387,25.543766745353,0.522416998376133,"NO3+NO2"
"14",27317,65,0.4,6.19335997643132,"USGS 34 5 uM","USGS34",4.94322872710813,0.130415572136654,-2.41202408240571,0.295987293929878,-26.9629061034258,0.521720982446152,"NO3+NO2"
"15",27318,66,0.4,5.96143928962807,"IAEA 5 uM","IAEA-NO3",4.75812128853211,0.130246626146778,4.41001537561624,0.295210364801335,25.3039929331161,0.527480572649628,"NO3+NO2"
"16",27330,78,1,6.31679255056414,"USGS 34 2 uM","USGS34",2.01669856219943,0.052203208717642,-1.68721136425502,0.293042924668483,-28.0591291287936,0.522592273520002,"NO3+NO2"
"17",27332,80,1,6.44943210311594,"IAEA 2 uM","IAEA-NO3",2.05904505257105,0.0522437318409271,4.72392927047007,0.293602465735338,25.4184816035579,0.52230523820639,"NO3+NO2"
"18",27333,81,0.4,6.01278961568829,"USGS 34 5 uM","USGS34",4.79910653852455,0.130283495566907,-1.76110697720517,0.293360451613662,-27.9033380470486,0.522455051408257,"NO3+NO2"
"19",27334,82,0.4,5.99379545117342,"IAEA 5 uM","IAEA-NO3",4.78394635083409,0.130269822128732,4.3334034902708,0.294891142689342,24.9757057920537,0.527161790121059,"NO3+NO2"
"20",27262,10,1,6.42740651338177,"USGS 34 2 uM NR","USGS34",2.08279336245519,0.0530205009147207,-1.73280218092359,0.29018036353771,-28.2938994174763,0.524747297098566,"NO3"
"21",27263,11,1,6.34237861979648,"IAEA 2 uM NR","IAEA-NO3",2.0552401756427,0.052994127615148,4.89145350525298,0.292320061138414,25.8844738226294,0.524586383884444,"NO3"
"22",27264,12,0.4,6.31661591799814,"USGS 34 5 uM NR","USGS34",5.11722950765378,0.132465505121943,-1.43433686432619,0.287901683533486,-27.222595049347,0.522851767540594,"NO3"
"23",27265,13,0.4,6.17120747791717,"IAEA 5 uM NR","IAEA-NO3",4.9994309316593,0.132355153416988,4.74493815063159,0.291089410592368,25.2673487756493,0.523489344588082,"NO3"
"24",27346,94,1,6.13535332327574,"USGS 34 2 uM NR","USGS34",1.98815387690682,0.0529313287529286,-2.00603915149436,0.292445204784242,-27.8653863389616,0.52398075978003,"NO3"
"25",27347,95,1,6.19086235211626,"IAEA 2 uM NR","IAEA-NO3",2.00614151104582,0.052947968992145,4.64738782716498,0.290296989750787,25.6348119338085,0.52413978076793,"NO3"
"26",27348,96,0.4,6.12713383746546,"USGS 34 5 uM NR","USGS34",4.96372590600045,0.132322194185836,-2.02682180325585,0.292624350528252,-28.3381191942151,0.524827038534345,"NO3"
"27",27350,98,0.4,6.01244739813678,"IAEA 5 uM NR","IAEA-NO3",4.87081589863586,0.132237496651553,4.51622051695045,0.289265776181747,25.6533654679128,0.52417284753938,"NO3"
