"","analysis","run_number","volume","area","name","pH","category","dilution","col_NOx","col_NO2","noxbox_Ntotal","conc","conc_err","d15N","d15N_err","d18O","d18O_err","compound"
"1",27422,57,0.285116997,7.9345962550419,"NSHQ4a",10,"OM17",1,21.8,0,69.06,8.69657967500645,0.250411597206377,1.61998913161169,0.194670925244382,20.1786634324364,0.508515747217109,"NO3+NO2"
"2",27428,63,0.166577252,4.9472424116147,"WAB71a",10.6,"OM17",1,12.3,0,132.6,9.28098889626242,0.419968275418934,10.596390485261,0.226917556965695,2.20382379359976,0.508450738199598,"NO3+NO2"
"3",27443,78,0.675418202,55.8889729773342,"NSHQ14a",10.3,"OM17",1,29.9,0,47.3,25.1505264832273,0.444912669323879,9.73226177492413,0.0417536026157683,9.88999778478559,0.233222746064684,"NO3+NO2"
"4",27473,108,0.15966081,64.0313638644602,"WAB188a",5.8,"OM17",1,126.1,0,139.2,121.895629963214,1.89069328223767,3.85731268458506,0.0373709222054576,21.5689119471236,0.233314047369064,"NO3+NO2"
"5",27475,110,0.155091321,68.4419544213724,"WAB105a",8.3,"OM17",1,129,4.7,144.8,134.13083234825,1.9516563591519,2.09182509264774,0.0370205520819271,21.8638683028086,0.233499583180741,"NO3+NO2"
"6",27481,116,0.154635552,21.2525372904292,"WAB104a",8.5,"OM17",1,129.33,129.33,NA,41.7729503610558,1.91888522969855,1.35244575017754,0.0369946631410279,22.3884334962478,0.233661175171081,"NO3+NO2"
"7",27484,119,0.113414018,49.796065290859,"WAB55a",9.2,"OM17",1,176.34,4.34,153.3,133.45105238164,2.64162117507887,8.39950581668172,0.0403198833423522,20.7477987542518,0.234216169315377,"NO3+NO2"
"8",27509,144,0.08,65.1831810101932,"rainwater NR",5.6,"OM17",1,250,NA,NA,247.650537958541,3.77596893138943,-2.19121141779401,0.0382042016392752,54.7113004510531,0.250891358225938,"NO3"
"9",27494,129,0.482872973,210.781981213254,"WAB105a NR",8.3,"OM17",1.075,129,4.7,144.8,143.427972581028,0.80128086242673,2.24058199354068,0.042546695952364,21.9239908293951,0.155386343646345,"NO3"
"10",27495,130,0.348819607,154.905757998688,"WAB55a NR",9.2,"OM17",1.075,176.34,4.34,153.3,145.915002886456,0.897802248167656,8.7641063147716,0.0526232673004003,20.9081052601105,0.153834056835774,"NO3"
